mechanism,advisory_n,advisory_pct,silent_n,silent_pct,delta_pct,fisher_p,holm_p,significant
dependency-supply-chain,150,77.3,22,0.5,-76.8,9.299882811081503e-210,2.0459742184379307e-208,True
privilege-isolation,4,2.1,42,1.0,-1.0,0.15599237351930648,1.0,False
code-injection-context,2,1.0,52,1.3,0.3,1.0,1.0,False
uri-deeplink-handling,0,0.0,26,0.6,0.6,0.6299487660205326,1.0,False
transport-encryption,1,0.5,46,1.1,0.6,0.7234109314747127,1.0,False
secure-boot-rollback,0,0.0,29,0.7,0.7,0.6412576141143094,1.0,False
missing-authentication,0,0.0,30,0.7,0.7,0.3999727849710214,1.0,False
curve-point-validation,1,0.5,52,1.3,0.8,0.5168182590242643,1.0,False
protocol-counterparty,3,1.5,98,2.4,0.9,0.6282214747682238,1.0,False
state-race-concurrency,2,1.0,127,3.1,2.1,0.12873813178295543,1.0,False
replay-scope,1,0.5,110,2.7,2.2,0.06267806749030529,0.6894587423933581,False
side-channel-fault,0,0.0,92,2.3,2.3,0.021519002251850654,0.2797470292740585,False
nonce-or-randomness,1,0.5,113,2.8,2.3,0.06387605710999955,0.6387605710999955,False
type-state-consistency,2,1.0,149,3.7,2.6,0.04690840422721325,0.5629008507265589,False
origin-session-auth,0,0.0,115,2.8,2.8,0.010015408809721332,0.15023113214581998,False
signature-verification-gap,3,1.5,227,5.6,4.0,0.008988229622854678,0.14381167396567485,False
encoding-canonicalization,6,3.1,317,7.8,4.7,0.011922043446406204,0.16690860824968684,False
key-lifetime-in-memory,0,0.0,255,6.3,6.3,7.559042293487428e-06,0.00012850371898928627,True
key-derivation-storage,4,2.1,467,11.5,9.4,3.0245976174076735e-06,5.444275711333812e-05,True
authorization-check,3,1.5,511,12.6,11.0,5.342498709734322e-08,1.1219247290442075e-06,True
signed-differs-from-shown,3,1.5,509,12.5,11.0,5.352764682004781e-08,1.070552936400956e-06,True
input-bounds-parsing,8,4.1,670,16.5,12.4,3.06616417100534e-07,5.825711924910147e-06,True
