source_platform,label,root_cause,attack_path,severity,authority_tier,title,source_url
account-abstraction,contract:reentrancy,reentrancy,malformed_input,Unrated,B_corroborated,AA-159 prevent recursive call into handleOps,https://github.com/eth-infinitism/account-abstraction/pull/257
account-abstraction,build-ci,excessive_spend_authority,unknown,Info,C_candidate,"AA-222 add delegateAndRevert helper, to simulate code execution from e",https://github.com/eth-infinitism/account-abstraction/commit/4063d8178f521414b312d3b6df3650439cf235f8
account-abstraction,contract:initialization,missing_input_validation,unknown,Unrated,B_corroborated,"make ""senderCreator"" to immutable member",https://github.com/eth-infinitism/account-abstraction/pull/399
account-abstraction,contract:erc4337,missing_replay_protection,unknown,Unrated,B_corroborated,Fix/verifying paymaster,https://github.com/eth-infinitism/account-abstraction/pull/184
alchemy-modular,contract:access-control,broken_access_control,hostile_network_or_rpc,High,A_authoritative,Non-SMA and Webauthn Account Security Advisory,https://github.com/alchemyplatform/modular-account/security/advisories/GHSA-56r6-ccm5-8hg3
alchemy-modular,contract:erc4337,missing_input_validation,malicious_pairing_session,Low,A_authoritative,executeUserOp can be used to bypass allowlist prevalidation hook,https://github.com/alchemyplatform/modular-account/security/advisories/GHSA-jhp7-7cq9-m4pv
alchemy-modular,contract:reentrancy,reentrancy,unknown,Unrated,B_corroborated,fix: [quantstamp-18] clear plugin data early in uninstallPlugin,https://github.com/alchemyplatform/modular-account/pull/25
alchemy-modular,contract:access-control,missing_input_validation,malformed_input,Unrated,C_candidate,fix: skip fuzz on coverage,https://github.com/alchemyplatform/modular-account/pull/238
alchemy-modular,contract:erc4337,missing_input_validation,malicious_pairing_session,Unrated,C_candidate,feat: hook mem management,https://github.com/alchemyplatform/modular-account/pull/219
alphawallet-android,other,other,unknown,Unrated,B_corroborated,Ensure phone security status is updated every time signing is used,https://github.com/AlphaWallet/alpha-wallet-android/pull/2438
alphawallet-android,network-io,other,hostile_network_or_rpc,Unrated,B_corroborated,Fix crash issues,https://github.com/AlphaWallet/alpha-wallet-android/pull/3315
alphawallet-android,transport:walletconnect,unhandled_error_or_nil,malicious_pairing_session,Unrated,B_corroborated,Fix crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/3241
alphawallet-android,other,other,unknown,Unrated,B_corroborated,Fixed unnecessary conversion causing crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/2997
alphawallet-android,metrics-observability,crypto_misuse,unknown,Unrated,C_candidate,Add toggling Analytics/Crash Reporting to Settings Menu,https://github.com/AlphaWallet/alpha-wallet-android/pull/3011
alphawallet-android,other,other,unknown,Unrated,C_candidate,3066 crash two different viewholders have the same stable id stable id,https://github.com/AlphaWallet/alpha-wallet-android/pull/3069
alphawallet-android,other,other,unknown,Unrated,B_corroborated,Fixed crash caused by TokenSelector,https://github.com/AlphaWallet/alpha-wallet-android/pull/2897
alphawallet-android,other,other,malicious_contract_or_token,Unrated,B_corroborated,fix malicious NFT make app crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/2909
alphawallet-android,build-ci,unhandled_error_or_nil,malicious_dapp,Unrated,B_corroborated,fix malicious dapp make app crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/2911
alphawallet-android,network-io,other,unknown,Unrated,B_corroborated,Fix for name crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/2701
alphawallet-android,test,unhandled_error_or_nil,malformed_input,Unrated,B_corroborated,Fix NPE crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/2667
